Date;Open;High;Low;Close;Volume;Adj Close;Y_t
11-4-2002;1130.46997;1130.46997;1102.42004;1103.68994;1505600000;1103.68994;-0.2871
10-4-2002;1117.80005;1131.76001;1117.80005;1130.46997;1447900000;1130.46997;1.0412
9-4-2002;1125.29004;1128.29004;1116.72998;1117.80005;1235400000;1117.80005;-0.4895
8-4-2002;1122.72998;1125.41003;1111.79004;1125.29004;1095300000;1125.29004;0.2900
5-4-2002;1126.33997;1133.31006;1119.48999;1122.72998;1110200000;1122.72998;-0.0989
4-4-2002;1125.40002;1130.44995;1120.06006;1126.33997;1283800000;1126.33997;0.1394
3-4-2002;1136.76001;1138.84998;1119.68005;1125.40002;1219700000;1125.40002;-0.0363
2-4-2002;1146.54004;1146.54004;1135.70996;1136.76001;1176700000;1136.76001;0.4362
1-4-2002;1147.39001;1147.83997;1132.87;1146.54004;1050900000;1146.54004;0.3720
28-3-2002;1144.57996;1154.44995;1144.57996;1147.39001;1147600000;1147.39001;0.0322
27-3-2002;1138.48999;1146.94995;1135.32996;1144.57996;1180100000;1144.57996;-0.1065
26-3-2002;1131.87;1147;1131.60999;1138.48999;1223600000;1138.48999;-0.2317
25-3-2002;1148.69995;1151.04004;1131.87;1131.87;1057900000;1131.87;-0.2533
22-3-2002;1153.58997;1156.48999;1144.59998;1148.69995;1243300000;1148.69995;0.6410
21-3-2002;1151.84998;1155.09998;1139.47998;1153.58997;1339200000;1153.58997;0.1845
20-3-2002;1170.29004;1170.29004;1151.60999;1151.84998;1304900000;1151.84998;-0.0656
19-3-2002;1165.55005;1173.93994;1165.55005;1170.29004;1255000000;1170.29004;0.6898
18-3-2002;1166.16003;1172.72998;1159.14001;1165.55005;1169500000;1165.55005;-0.1763
15-3-2002;1153.04004;1166.47998;1153.04004;1166.16003;1493900000;1166.16003;0.0227
14-3-2002;1154.08997;1157.82996;1151.07996;1153.04004;1208800000;1153.04004;-0.4914
13-3-2002;1165.57996;1165.57996;1151.01001;1154.08997;1354000000;1154.08997;0.0395
12-3-2002;1168.26001;1168.26001;1154.33997;1165.57996;1304400000;1165.57996;0.4302
11-3-2002;1164.31006;1173.03003;1159.57996;1168.26001;1210200000;1168.26001;0.0997
8-3-2002;1157.54004;1172.76001;1157.54004;1164.31006;1412000000;1164.31006;-0.1471
7-3-2002;1162.77002;1167.93994;1150.68994;1157.54004;1517400000;1157.54004;-0.2533
6-3-2002;1146.14001;1165.29004;1145.10999;1162.77002;1541300000;1162.77002;0.1958
5-3-2002;1153.83997;1157.73999;1144.78003;1146.14001;1549300000;1146.14001;-0.6256
4-3-2002;1131.78003;1153.83997;1130.93005;1153.83997;1594300000;1153.83997;0.2908
1-3-2002;1106.72998;1131.79004;1106.72998;1131.78003;1456500000;1131.78003;-0.8384
28-2-2002;1109.89001;1121.56995;1106.72998;1106.72998;1392200000;1106.72998;-0.9720
27-2-2002;1109.38;1123.06006;1102.26001;1109.89001;1393800000;1109.89001;0.1238
26-2-2002;1109.43005;1115.05005;1101.71997;1109.38;1309200000;1109.38;-0.0200
25-2-2002;1089.83997;1112.70996;1089.83997;1109.43005;1367400000;1109.43005;0.0020
22-2-2002;1080.94995;1093.93005;1074.39001;1089.83997;1411000000;1089.83997;-0.7737
21-2-2002;1097.97998;1101.5;1080.23999;1080.94995;1381600000;1080.94995;-0.3557
20-2-2002;1083.33997;1098.31995;1074.35999;1097.97998;1438900000;1097.97998;0.6789
19-2-2002;1104.18005;1104.18005;1082.23999;1083.33997;1189900000;1083.33997;-0.5830
15-2-2002;1116.47998;1117.08997;1103.22998;1104.18005;1359200000;1104.18005;0.8275
14-2-2002;1118.51001;1124.71997;1112.30005;1116.47998;1272500000;1116.47998;0.4811
13-2-2002;1107.5;1120.56006;1107.5;1118.51001;1215900000;1118.51001;0.0789
12-2-2002;1111.93994;1112.68005;1102.97998;1107.5;1094200000;1107.5;-0.4296
11-2-2002;1096.21997;1112.01001;1094.68005;1111.93994;1159400000;1111.93994;0.1738
8-2-2002;1080.17004;1096.30005;1079.91003;1096.21997;1371900000;1096.21997;-0.6184
7-2-2002;1083.51001;1094.03003;1078.43994;1080.17004;1441600000;1080.17004;-0.6406
6-2-2002;1090.02002;1093.57996;1077.78003;1083.51001;1665800000;1083.51001;0.1341
5-2-2002;1094.43994;1100.95996;1082.57996;1090.02002;1778300000;1090.02002;0.2602
4-2-2002;1122.19995;1122.19995;1092.25;1094.43994;1437600000;1094.43994;0.1757
1-2-2002;1130.19995;1130.19995;1118.51001;1122.19995;1367200000;1122.19995;1.0878
31-1-2002;1113.56995;1130.20996;1113.30005;1130.19995;1557000000;1130.19995;0.3085
30-1-2002;1100.64001;1113.79004;1081.66003;1113.56995;2019600000;1113.56995;-0.6438
29-1-2002;1133.06006;1137.46997;1098.73999;1100.64001;1812000000;1100.64001;-0.5072
28-1-2002;1133.28003;1138.63;1126.66003;1133.06006;1186800000;1133.06006;1.2608
25-1-2002;1132.15002;1138.31006;1127.81995;1133.28003;1345100000;1133.28003;0.0084
24-1-2002;1128.18005;1139.5;1128.18005;1132.15002;1552800000;1132.15002;-0.0433
23-1-2002;1119.31006;1131.93994;1117.43005;1128.18005;1479200000;1128.18005;-0.1526
22-1-2002;1127.57996;1135.26001;1117.91003;1119.31006;1311600000;1119.31006;-0.3428
18-1-2002;1138.88;1138.88;1124.44995;1127.57996;1333300000;1127.57996;0.3197
17-1-2002;1127.56995;1139.27002;1127.56995;1138.88;1380100000;1138.88;0.4331
16-1-2002;1146.18994;1146.18994;1127.48999;1127.56995;1482500000;1127.56995;-0.4334
15-1-2002;1138.41003;1148.81006;1136.88;1146.18994;1386900000;1146.18994;0.7113
14-1-2002;1145.59998;1145.59998;1138.15002;1138.41003;1286400000;1138.41003;-0.2958
11-1-2002;1156.55005;1159.41003;1145.44995;1145.59998;1211900000;1145.59998;0.2734
10-1-2002;1155.14001;1159.93005;1150.84998;1156.55005;1299000000;1156.55005;0.4131
9-1-2002;1160.70996;1174.26001;1151.89001;1155.14001;1452000000;1155.14001;-0.0530
8-1-2002;1164.89001;1167.59998;1157.45996;1160.70996;1258800000;1160.70996;0.2089
7-1-2002;1172.51001;1176.96997;1163.55005;1164.89001;1308300000;1164.89001;0.1561
